User ID,Location,Customer Type,Subcription ID,Gender
1A7DABE0-5BD1-7D4F-7F27-B292CE9FA20E,Chennai,L,B53B21CF-951B-7E01-5A61-CCEE7C5531B3,Female
9C917222-0B95-8643-4CBD-872F371B76DD,New York,M,5B6C3F5F-8131-2C23-7261-29D297775938,Male
8C3A48AA-4BC1-A5DF-01FD-5544738546DF,Chennai,M,FAF27EC3-0A95-2997-840F-C9C5FFA96088,Female
B1E72BEF-5AD3-4B31-9BA9-C263EFE395D6,London,M,2316C12A-3775-6817-172B-3DC0B3711919,Male
56D07FEC-61D0-7B6A-5C4C-0C48958C738E,Bangalore,XL,6E3F4811-1309-5362-7BAF-3B5A295D9E26,Female
F17E7F8D-5E1A-5080-23D4-13F8BA38A72E,Perth,S,950A8687-92EC-2CA1-50BD-F49A22B410E8,Female
A94F1C1B-4189-22A4-A48E-717797B476BD,Perth,M,BDBDF174-2606-58E4-35BA-459D7888670B,Male
52E4895C-8998-6CF4-1E34-D0740A15167C,London,M,C508CDC9-6983-8D94-318D-D50EEE391DE1,Female
83E0F4DD-2714-9FB3-511A-33B58E633E48,Chennai,M,7D1B02C5-0820-47E9-64A3-8473FFE23CA6,Male
D3EB2027-2E79-5531-53A4-3DF7BD1F7632,New York,L,200FE895-2A8D-2F11-09BA-CD4DB3081BB8,Female
28EADE3F-416A-8611-0D9A-B0AFC0F2439B,Perth,XL,72AD184E-78F4-3BF2-6FC1-E80D66743298,Female
D5FBACD4-4F52-740F-A6A9-DD1E803B80BC,London,S,54753CB0-3B52-8019-0F3C-D9DDA1F1826D,Female
6CFEE7FE-6FB1-A49A-43EB-6F5577F172D6,Moscow,XL,BA0EE194-4EF7-12DA-2CFB-C63EE6E666D3,Female
F33E523B-A53A-A5C3-748A-66B3869E1902,Chennai,S,4EFF4408-81CE-5214-53B3-21787FBB827D,Male
F772ED89-4B54-17A0-365A-191A1C8403DB,Dubai,L,3BB922A9-297F-7443-72DB-A0DD5051719F,Female
140363ED-878F-44FA-31E5-1EF293C76972,Moscow,L,CCFF8CD6-21D9-722B-6451-05E4A564811B,Female
30A87549-54F8-3DA6-1909-134EA8C79147,Moscow,S,F99CB3A9-993D-418E-37E3-211705BB18B1,Male
